year,age,sex,cost
2004,82,M,459664.7344786154
2004,83,F,1212788.004798576
2004,83,M,443631.3338708342
2004,84,F,1219910.218973869
2004,84,M,315770.27921175776
2004,85,F,1049379.7758217875
2004,85,M,250111.18457421428
2004,86,F,871569.5831493952
2004,86,M,287327.460713085
2004,87,F,830349.3736347147
2004,87,M,246267.43729884308
2004,88,F,590249.7618515183
2004,88,M,213735.63179991048
2004,89,F,590419.701667307
2004,89,M,181072.2128410269
2004,90,F,403208.4420469386
2004,90,M,86284.83976417308
2004,91,F,348303.20681745064
2004,91,M,120817.70629638145
2004,92,F,254646.9644394159
2004,92,M,79470.38445930998
2004,93,F,239926.06345333048
2004,93,M,58509.59755245544
2004,94,F,183541.79024584545
2004,94,M,62969.345788761726
2004,95,F,126440.4717110932
2004,95,M,20882.416893082678
2004,96,F,96395.93223415792
2004,96,M,26124.111354431036
2004,97,F,55992.87775216339
2004,97,M,34601.50675452661
2004,98,F,46669.44040799712
2004,98,M,0.0
2004,99,F,35167.02433472238
2004,99,M,0.0
2004,100,F,47437.564311919195
2004,100,M,0.0
2004,101,F,57627.43178860432
2004,101,M,0.0
2004,102,F,28290.051495922886
2004,102,M,0.0
2004,103,F,0.0
2004,103,M,0.0
2004,104,F,0.0
2004,104,M,0.0
2004,105,F,0.0
2004,105,M,0.0
2004,106,F,0.0
2004,106,M,0.0
2004,107,F,0.0
2004,107,M,0.0
2004,108,F,0.0
2004,108,M,0.0
2004,109,F,0.0
2004,109,M,0.0
2004,110,F,0.0
2004,110,M,0.0
2005,0,F,0.0
2005,0,M,0.0
2005,1,F,0.0
2005,1,M,0.0
2005,2,F,0.0
2005,2,M,0.0
2005,3,F,2376007.4518576837
2005,3,M,3267352.43867252
2005,4,F,2457201.0312604345
2005,4,M,4040518.314898648
2005,5,F,2996257.067502198
2005,5,M,5143898.495831239
2005,6,F,3360686.17298667
2005,6,M,5105984.478978047
2005,7,F,3770035.8421602976
2005,7,M,5685001.027335774
2005,8,F,3975295.92409863
2005,8,M,6765443.723314361
2005,9,F,4469389.908339884
2005,9,M,6186894.720577699
