year,age,sex,n_exacerbations
2005,61,M,42
2005,62,F,92
2005,62,M,62
2005,63,F,88
2005,63,M,31
2005,64,F,100
2005,64,M,40
2005,65,F,109
2005,65,M,29
2005,66,F,83
2005,66,M,26
2005,67,F,76
2005,67,M,36
2005,68,F,90
2005,68,M,35
2005,69,F,88
2005,69,M,49
2005,70,F,89
2005,70,M,45
2005,71,F,115
2005,71,M,29
2005,72,F,94
2005,72,M,45
2005,73,F,102
2005,73,M,44
2005,74,F,69
2005,74,M,40
2005,75,F,79
2005,75,M,35
2005,76,F,94
2005,76,M,37
2005,77,F,78
2005,77,M,29
2005,78,F,79
2005,78,M,31
2005,79,F,116
2005,79,M,34
2005,80,F,74
2005,80,M,40
2005,81,F,100
2005,81,M,27
2005,82,F,86
2005,82,M,41
2005,83,F,56
2005,83,M,30
2005,84,F,83
2005,84,M,23
2005,85,F,92
2005,85,M,22
2005,86,F,71
2005,86,M,8
2005,87,F,47
2005,87,M,12
2005,88,F,28
2005,88,M,13
2005,89,F,37
2005,89,M,13
2005,90,F,18
2005,90,M,9
2005,91,F,30
2005,91,M,11
2005,92,F,12
2005,92,M,9
2005,93,F,7
2005,93,M,1
2005,94,F,11
2005,94,M,12
2005,95,F,6
2005,95,M,5
2005,96,F,2
2005,96,M,0
2005,97,F,2
2005,97,M,3
2005,98,F,1
2005,98,M,2
2005,99,F,1
2005,99,M,0
2005,100,F,3
2005,100,M,0
2005,101,F,2
2005,101,M,0
2005,102,F,1
2005,102,M,0
2005,103,F,4
2005,103,M,0
2005,104,F,0
2005,104,M,0
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,0
2006,0,M,0
2006,1,F,0
2006,1,M,0
2006,2,F,0
2006,2,M,0
2006,3,F,396
2006,3,M,702
2006,4,F,446
2006,4,M,668
2006,5,F,345
2006,5,M,549
2006,6,F,304
2006,6,M,438
2006,7,F,168
2006,7,M,320
2006,8,F,154
2006,8,M,237
2006,9,F,160
2006,9,M,229
2006,10,F,123
2006,10,M,172
2006,11,F,108
2006,11,M,151
2006,12,F,102
2006,12,M,128
2006,13,F,70
2006,13,M,106
2006,14,F,56
2006,14,M,72
2006,15,F,69
2006,15,M,78
2006,16,F,91
2006,16,M,65
2006,17,F,84
2006,17,M,45
2006,18,F,90
2006,18,M,60
2006,19,F,103
2006,19,M,55
2006,20,F,80
2006,20,M,69
2006,21,F,118
2006,21,M,63
2006,22,F,127
2006,22,M,78
2006,23,F,103
2006,23,M,83
2006,24,F,87
2006,24,M,83
2006,25,F,102
2006,25,M,64
2006,26,F,111
2006,26,M,79
2006,27,F,105
2006,27,M,63
2006,28,F,116
2006,28,M,93
2006,29,F,115
2006,29,M,105
2006,30,F,126
2006,30,M,67
2006,31,F,102
2006,31,M,54
2006,32,F,103
2006,32,M,52
2006,33,F,80
2006,33,M,79
2006,34,F,133
2006,34,M,70
2006,35,F,105
2006,35,M,53
2006,36,F,118
2006,36,M,73
2006,37,F,99
2006,37,M,35
2006,38,F,95
2006,38,M,35
2006,39,F,105
2006,39,M,48
2006,40,F,97
2006,40,M,55
2006,41,F,102
2006,41,M,61
2006,42,F,97
2006,42,M,46
2006,43,F,132
2006,43,M,50
2006,44,F,96
2006,44,M,41
2006,45,F,122
2006,45,M,39
2006,46,F,92
2006,46,M,42
2006,47,F,104
2006,47,M,31
2006,48,F,94
2006,48,M,45
2006,49,F,91
2006,49,M,61
2006,50,F,111
2006,50,M,43
2006,51,F,92
2006,51,M,37
2006,52,F,105
2006,52,M,38
2006,53,F,108
2006,53,M,29
2006,54,F,66
2006,54,M,37
2006,55,F,79
2006,55,M,20
2006,56,F,113
2006,56,M,39
2006,57,F,82
2006,57,M,42
2006,58,F,116
2006,58,M,30
2006,59,F,100
2006,59,M,34
2006,60,F,102
2006,60,M,31
2006,61,F,68
2006,61,M,19
2006,62,F,54
2006,62,M,35
2006,63,F,57
