year,age,sex,n_antibiotic_exposure
2005,91,F,0
2005,91,M,0
2005,92,F,0
2005,92,M,0
2005,93,F,0
2005,93,M,0
2005,94,F,0
2005,94,M,0
2005,95,F,0
2005,95,M,0
2005,96,F,0
2005,96,M,0
2005,97,F,0
2005,97,M,0
2005,98,F,0
2005,98,M,0
2005,99,F,0
2005,99,M,0
2005,100,F,57
2005,100,M,6
2005,101,F,0
2005,101,M,0
2005,102,F,0
2005,102,M,0
2005,103,F,0
2005,103,M,0
2005,104,F,0
2005,104,M,0
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,3010
2006,0,M,4039
2006,1,F,52
2006,1,M,102
2006,2,F,47
2006,2,M,64
2006,3,F,40
2006,3,M,106
2006,4,F,46
2006,4,M,75
2006,5,F,50
2006,5,M,74
2006,6,F,15
2006,6,M,23
2006,7,F,30
2006,7,M,54
2006,8,F,14
2006,8,M,71
2006,9,F,53
2006,9,M,61
2006,10,F,17
2006,10,M,43
2006,11,F,29
2006,11,M,61
2006,12,F,74
2006,12,M,46
2006,13,F,42
2006,13,M,48
2006,14,F,45
2006,14,M,68
2006,15,F,79
2006,15,M,59
2006,16,F,38
2006,16,M,76
2006,17,F,103
2006,17,M,131
2006,18,F,96
2006,18,M,150
2006,19,F,110
2006,19,M,153
2006,20,F,78
2006,20,M,94
2006,21,F,70
2006,21,M,73
2006,22,F,42
2006,22,M,80
2006,23,F,59
2006,23,M,52
2006,24,F,43
2006,24,M,41
2006,25,F,47
2006,25,M,32
2006,26,F,51
2006,26,M,0
2006,27,F,60
2006,27,M,40
2006,28,F,87
2006,28,M,41
2006,29,F,72
2006,29,M,41
2006,30,F,86
2006,30,M,59
2006,31,F,53
2006,31,M,42
2006,32,F,43
2006,32,M,76
2006,33,F,76
2006,33,M,62
2006,34,F,50
2006,34,M,75
2006,35,F,16
2006,35,M,40
2006,36,F,43
2006,36,M,38
2006,37,F,39
2006,37,M,63
2006,38,F,50
2006,38,M,69
2006,39,F,56
2006,39,M,69
2006,40,F,42
2006,40,M,65
2006,41,F,25
2006,41,M,32
2006,42,F,24
2006,42,M,27
2006,43,F,15
2006,43,M,22
2006,44,F,33
2006,44,M,64
2006,45,F,6
2006,45,M,9
2006,46,F,8
2006,46,M,11
2006,47,F,32
2006,47,M,47
2006,48,F,16
2006,48,M,21
2006,49,F,9
2006,49,M,44
2006,50,F,31
2006,50,M,35
2006,51,F,4
2006,51,M,14
2006,52,F,8
2006,52,M,27
2006,53,F,35
2006,53,M,32
2006,54,F,17
2006,54,M,32
2006,55,F,5
2006,55,M,19
2006,56,F,18
2006,56,M,14
2006,57,F,16
2006,57,M,26
2006,58,F,15
2006,58,M,2
2006,59,F,0
2006,59,M,0
2006,60,F,59
2006,60,M,80
2006,61,F,52
2006,61,M,45
2006,62,F,21
2006,62,M,32
2006,63,F,6
2006,63,M,0
2006,64,F,19
2006,64,M,32
2006,65,F,6
2006,65,M,9
2006,66,F,25
2006,66,M,14
2006,67,F,7
2006,67,M,7
2006,68,F,5
2006,68,M,0
2006,69,F,9
2006,69,M,14
2006,70,F,0
2006,70,M,0
2006,71,F,6
2006,71,M,8
2006,72,F,10
2006,72,M,13
2006,73,F,0
2006,73,M,0
2006,74,F,0
2006,74,M,0
2006,75,F,0
2006,75,M,0
2006,76,F,0
2006,76,M,0
2006,77,F,3
2006,77,M,4
2006,78,F,0
2006,78,M,0
2006,79,F,0
2006,79,M,0
2006,80,F,0
2006,80,M,0
2006,81,F,3
2006,81,M,4
2006,82,F,0
2006,82,M,2
2006,83,F,2
2006,83,M,0
2006,84,F,0
2006,84,M,0
2006,85,F,0
2006,85,M,0
2006,86,F,0
2006,86,M,0
2006,87,F,1
2006,87,M,0
2006,88,F,0
2006,88,M,0
2006,89,F,0
2006,89,M,0
2006,90,F,0
2006,90,M,0
2006,91,F,0
2006,91,M,0
2006,92,F,0
2006,92,M,0
2006,93,F,0
2006,93,M,0
2006,94,F,1
2006,94,M,0
2006,95,F,0
2006,95,M,0
2006,96,F,0
2006,96,M,0
2006,97,F,0
2006,97,M,0
2006,98,F,0
2006,98,M,2
2006,99,F,2
2006,99,M,0
2006,100,F,77
2006,100,M,13
2006,101,F,0
2006,101,M,0
2006,102,F,0
2006,102,M,0
2006,103,F,0
2006,103,M,0
2006,104,F,0
2006,104,M,0
2006,105,F,0
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,3016
2007,0,M,3963
2007,1,F,62
2007,1,M,56
2007,2,F,37
2007,2,M,26
2007,3,F,25
2007,3,M,26
2007,4,F,30
2007,4,M,30
2007,5,F,27
2007,5,M,31
2007,6,F,34
2007,6,M,44
2007,7,F,33
2007,7,M,53
2007,8,F,40
2007,8,M,54
2007,9,F,62
2007,9,M,93
2007,10,F,46
2007,10,M,56
2007,11,F,64
2007,11,M,114
2007,12,F,41
2007,12,M,61
2007,13,F,36
2007,13,M,85
2007,14,F,45
2007,14,M,65
2007,15,F,32
2007,15,M,43
2007,16,F,45
2007,16,M,33
2007,17,F,58
2007,17,M,47
2007,18,F,55
2007,18,M,25
2007,19,F,108
2007,19,M,97
2007,20,F,117
2007,20,M,72
2007,21,F,86
2007,21,M,50
2007,22,F,71
2007,22,M,32
2007,23,F,61
2007,23,M,43
2007,24,F,66
2007,24,M,59
2007,25,F,79
2007,25,M,46
2007,26,F,79
2007,26,M,53
2007,27,F,78
2007,27,M,74
2007,28,F,75
2007,28,M,59
2007,29,F,80
2007,29,M,62
2007,30,F,68
2007,30,M,69
2007,31,F,58
2007,31,M,63
2007,32,F,76
2007,32,M,70
2007,33,F,58
2007,33,M,76
2007,34,F,52
2007,34,M,70
2007,35,F,63
2007,35,M,58
2007,36,F,63
2007,36,M,82
2007,37,F,54
2007,37,M,46
2007,38,F,46
2007,38,M,25
2007,39,F,41
2007,39,M,37
2007,40,F,19
2007,40,M,17
2007,41,F,16
2007,41,M,17
2007,42,F,29
2007,42,M,20
2007,43,F,14
2007,43,M,14
2007,44,F,23
2007,44,M,28
2007,45,F,12
2007,45,M,32
2007,46,F,29
2007,46,M,59
2007,47,F,29
2007,47,M,53
2007,48,F,27
2007,48,M,34
