year,age,sex,utility
2004,66,M,3048.8642354347726
2004,67,F,3121.730859522691
2004,67,M,2895.1191079984674
2004,68,F,3119.8103804526218
2004,68,M,2871.280810710245
2004,69,F,3041.017393917034
2004,69,M,2751.211210138982
2004,70,F,2887.9692654515275
2004,70,M,2670.481859062455
2004,71,F,2970.5018844955493
2004,71,M,2603.5380803502967
2004,72,F,2871.2825941577507
2004,72,M,2630.9042557940693
2004,73,F,2868.9823913090845
2004,73,M,2571.091477510208
2004,74,F,2783.658262970547
2004,74,M,2426.9360739497915
2004,75,F,2705.8791139627383
2004,75,M,2102.211648539864
2004,76,F,2624.368184393558
2004,76,M,2054.9867606182274
2004,77,F,2549.0459522767005
2004,77,M,1852.942592595304
2004,78,F,2469.314123822017
2004,78,M,1769.6620721619822
2004,79,F,2322.8684554497563
2004,79,M,1643.2657960467977
2004,80,F,2279.202486755434
2004,80,M,1456.6845435688008
2004,81,F,2111.750999336733
2004,81,M,1335.4218183150376
2004,82,F,1994.9317777846313
2004,82,M,1238.3067816563891
2004,83,F,1811.330847605693
2004,83,M,1072.712384167043
2004,84,F,1651.9665701165736
2004,84,M,900.7474847251882
2004,85,F,1362.8411619299548
2004,85,M,696.2522888149488
2004,86,F,1179.5202583376752
2004,86,M,581.7965472828259
2004,87,F,1044.3933910169071
2004,87,M,501.60519119160506
2004,88,F,969.2820357792832
2004,88,M,418.0416358930649
2004,89,F,818.6030402276787
2004,89,M,359.23344321323856
2004,90,F,672.8772015104823
2004,90,M,303.87323747218267
2004,91,F,561.883598931062
2004,91,M,215.02784744058587
2004,92,F,466.55747061054274
2004,92,M,152.1295340615469
2004,93,F,328.3256979905523
2004,93,M,126.99950368296679
2004,94,F,291.2646119227929
2004,94,M,83.9780335221674
2004,95,F,196.20987593387528
2004,95,M,56.31281048455326
2004,96,F,147.43349892997836
2004,96,M,40.78812638498127
2004,97,F,106.48371125261349
2004,97,M,23.717043263285966
2004,98,F,72.66625161918546
2004,98,M,17.996999999999993
2004,99,F,52.35223174448515
2004,99,M,7.713000000000001
2004,100,F,91.65668336534247
2004,100,M,15.425999999999995
2004,101,F,75.35217324582491
2004,101,M,13.711999999999996
2004,102,F,41.93276519673417
2004,102,M,3.428
2004,103,F,18.14400000000001
2004,103,M,1.714
2004,104,F,0.0
2004,104,M,0.0
2004,105,F,0.0
2004,105,M,0.0
2004,106,F,0.0
2004,106,M,0.0
2004,107,F,0.0
2004,107,M,0.0
2004,108,F,0.0
2004,108,M,0.0
2004,109,F,0.0
2004,109,M,0.0
2004,110,F,0.0
2004,110,M,0.0
2005,0,F,5045.0
2005,0,M,5281.0
2005,1,F,5098.071777778264
2005,1,M,5288.020833333756
2005,2,F,5035.527000000191
2005,2,M,5196.805555556156
2005,3,F,5000.64833754157
2005,3,M,5128.328922128548
2005,4,F,4911.083084150278
2005,4,M,5181.108323533492
2005,5,F,5144.52293835623
2005,5,M,5288.890821557844
2005,6,F,4987.056997930675
2005,6,M,5365.94168058004
2005,7,F,5162.851524019476
2005,7,M,5344.897270535983
2005,8,F,5209.851669009858
2005,8,M,5606.064416807299
2005,9,F,5508.842628085069
2005,9,M,5785.258268973038
2005,10,F,5664.927594190804
2005,10,M,5845.167618521413
2005,11,F,5637.61331814151
2005,11,M,5888.40459804853
2005,12,F,5712.129507622074
2005,12,M,5986.569285685056
2005,13,F,5807.442848706367
2005,13,M,6032.024707497247
2005,14,F,5932.309084054355
2005,14,M,6099.620616682405
2005,15,F,5936.00075312687
2005,15,M,6166.10392873586
2005,16,F,5593.208947278165
2005,16,M,6025.77313163778
2005,17,F,5503.377983627042
2005,17,M,5646.101432983186
2005,18,F,5442.470297331261
2005,18,M,5798.735056453612
2005,19,F,5637.362099682835
2005,19,M,5936.777261379348
2005,20,F,5705.996621918354
2005,20,M,6043.37635987222
2005,21,F,5671.063477205617
2005,21,M,6094.117147799968
