year,age,sex,n_deaths
2007,24,M,5
2007,25,F,3
2007,25,M,4
2007,26,F,4
2007,26,M,7
2007,27,F,2
2007,27,M,5
2007,28,F,3
2007,28,M,10
2007,29,F,2
2007,29,M,3
2007,30,F,3
2007,30,M,4
2007,31,F,2
2007,31,M,6
2007,32,F,3
2007,32,M,5
2007,33,F,6
2007,33,M,8
2007,34,F,2
2007,34,M,10
2007,35,F,2
2007,35,M,6
2007,36,F,6
2007,36,M,16
2007,37,F,5
2007,37,M,6
2007,38,F,3
2007,38,M,9
2007,39,F,7
2007,39,M,10
2007,40,F,4
2007,40,M,14
2007,41,F,9
2007,41,M,8
2007,42,F,7
2007,42,M,12
2007,43,F,10
2007,43,M,17
2007,44,F,13
2007,44,M,27
2007,45,F,8
2007,45,M,18
2007,46,F,11
2007,46,M,18
2007,47,F,20
2007,47,M,25
2007,48,F,12
2007,48,M,28
2007,49,F,12
2007,49,M,27
2007,50,F,14
2007,50,M,20
2007,51,F,17
2007,51,M,21
2007,52,F,31
2007,52,M,34
2007,53,F,22
2007,53,M,38
2007,54,F,26
2007,54,M,36
2007,55,F,23
2007,55,M,37
2007,56,F,30
2007,56,M,39
2007,57,F,26
2007,57,M,41
2007,58,F,30
2007,58,M,51
2007,59,F,34
2007,59,M,54
2007,60,F,36
2007,60,M,52
2007,61,F,28
2007,61,M,43
2007,62,F,35
2007,62,M,45
2007,63,F,33
2007,63,M,51
2007,64,F,39
2007,64,M,70
2007,65,F,42
2007,65,M,59
2007,66,F,32
2007,66,M,59
2007,67,F,31
2007,67,M,58
2007,68,F,41
2007,68,M,56
2007,69,F,41
2007,69,M,68
2007,70,F,41
2007,70,M,61
2007,71,F,47
2007,71,M,81
2007,72,F,62
2007,72,M,74
2007,73,F,55
2007,73,M,87
2007,74,F,65
2007,74,M,87
2007,75,F,66
2007,75,M,107
2007,76,F,83
2007,76,M,118
2007,77,F,80
2007,77,M,98
2007,78,F,93
2007,78,M,121
2007,79,F,106
2007,79,M,115
2007,80,F,112
2007,80,M,111
2007,81,F,93
2007,81,M,120
2007,82,F,118
2007,82,M,121
2007,83,F,120
2007,83,M,123
2007,84,F,130
2007,84,M,105
2007,85,F,129
2007,85,M,116
2007,86,F,145
2007,86,M,102
2007,87,F,126
2007,87,M,91
2007,88,F,128
2007,88,M,74
2007,89,F,113
2007,89,M,63
2007,90,F,96
2007,90,M,61
2007,91,F,108
2007,91,M,65
2007,92,F,109
2007,92,M,36
2007,93,F,95
2007,93,M,29
2007,94,F,75
2007,94,M,34
2007,95,F,59
2007,95,M,17
2007,96,F,38
2007,96,M,17
2007,97,F,35
2007,97,M,14
2007,98,F,23
2007,98,M,4
2007,99,F,17
2007,99,M,5
2007,100,F,33
2007,100,M,8
2007,101,F,30
2007,101,M,5
2007,102,F,21
2007,102,M,3
2007,103,F,6
2007,103,M,1
2007,104,F,11
2007,104,M,2
2007,105,F,4
2007,105,M,0
2007,106,F,1
2007,106,M,0
