province,projection_scenario,timepoint,N,prop_male
CA,M6,2030-03-01T00:00:00,32980.25145430663,0.5121098626716605
CA,M6,2030-04-01T00:00:00,33013.060611747045,0.5121098626716605
CA,M6,2030-05-01T00:00:00,33044.811409270034,0.5121098626716605
CA,M6,2030-06-01T00:00:00,33077.62056671045,0.5121098626716605
CA,M6,2030-07-01T00:00:00,33109.37136423344,0.5121098626716605
CA,M6,2030-08-01T00:00:00,33142.18052167386,0.5121098626716605
CA,M6,2030-09-01T00:00:00,33174.98967911428,0.5121098626716605
CA,M6,2030-10-01T00:00:00,33206.740476637264,0.5121098626716605
CA,M6,2030-11-01T00:00:00,33239.54963407769,0.5121098626716605
CA,M6,2030-12-01T00:00:00,33271.30043160068,0.5121098626716605
CA,M6,2031-01-01T00:00:00,33304.109589041094,0.5120927936821322
CA,M6,2031-02-01T00:00:00,33336.22067930193,0.5120927936821322
CA,M6,2031-03-01T00:00:00,33365.22424469882,0.5120927936821322
CA,M6,2031-04-01T00:00:00,33397.33533495965,0.5120927936821322
CA,M6,2031-05-01T00:00:00,33428.41058359917,0.5120927936821322
CA,M6,2031-06-01T00:00:00,33460.52167386001,0.5120927936821322
CA,M6,2031-07-01T00:00:00,33491.59692249953,0.5120927936821322
CA,M6,2031-08-01T00:00:00,33523.70801276036,0.5120927936821322
CA,M6,2031-09-01T00:00:00,33555.819103021204,0.5120927936821322
CA,M6,2031-10-01T00:00:00,33586.894351660725,0.5120927936821322
CA,M6,2031-11-01T00:00:00,33619.00544192156,0.5120927936821322
CA,M6,2031-12-01T00:00:00,33650.08069056108,0.5120927936821322
CA,M6,2032-01-01T00:00:00,33682.191780821915,0.5119570522205954
CA,M6,2032-02-01T00:00:00,33715.60745564788,0.5119570522205954
CA,M6,2032-03-01T00:00:00,33746.867280485065,0.5119570522205954
CA,M6,2032-04-01T00:00:00,33780.28295531102,0.5119570522205954
CA,M6,2032-05-01T00:00:00,33812.620705142595,0.5119570522205954
CA,M6,2032-06-01T00:00:00,33846.03637996856,0.5119570522205954
CA,M6,2032-07-01T00:00:00,33878.37412980013,0.5119570522205954
CA,M6,2032-08-01T00:00:00,33911.78980462609,0.5119570522205954
CA,M6,2032-09-01T00:00:00,33945.20547945205,0.5119570522205954
CA,M6,2032-10-01T00:00:00,33977.54322928363,0.5119570522205954
CA,M6,2032-11-01T00:00:00,34010.95890410959,0.5119570522205954
CA,M6,2032-12-01T00:00:00,34043.29665394116,0.5119570522205954
CA,M6,2033-01-01T00:00:00,34076.71232876712,0.5120598166907863
CA,M6,2033-02-01T00:00:00,34113.01182210546,0.5120598166907863
CA,M6,2033-03-01T00:00:00,34145.79846124976,0.5120598166907863
CA,M6,2033-04-01T00:00:00,34182.0979545881,0.5120598166907863
CA,M6,2033-05-01T00:00:00,34217.22649652843,0.5120598166907863
CA,M6,2033-06-01T00:00:00,34253.525989866765,0.5120598166907863
CA,M6,2033-07-01T00:00:00,34288.65453180709,0.5120598166907863
CA,M6,2033-08-01T00:00:00,34324.95402514543,0.5120598166907863
CA,M6,2033-09-01T00:00:00,34361.25351848377,0.5120598166907863
CA,M6,2033-10-01T00:00:00,34396.38206042409,0.5120598166907863
CA,M6,2033-11-01T00:00:00,34432.68155376243,0.5120598166907863
CA,M6,2033-12-01T00:00:00,34467.81009570276,0.5120598166907863
CA,M6,2034-01-01T00:00:00,34504.109589041094,0.5119104335397808
CA,M6,2034-02-01T00:00:00,34542.50328391818,0.5119104335397808
CA,M6,2034-03-01T00:00:00,34577.1814599362,0.5119104335397808
CA,M6,2034-04-01T00:00:00,34615.57515481328,0.5119104335397808
CA,M6,2034-05-01T00:00:00,34652.730343404015,0.5119104335397808
CA,M6,2034-06-01T00:00:00,34691.1240382811,0.5119104335397808
CA,M6,2034-07-01T00:00:00,34728.27922687183,0.5119104335397808
CA,M6,2034-08-01T00:00:00,34766.67292174892,0.5119104335397808
CA,M6,2034-09-01T00:00:00,34805.066616626005,0.5119104335397808
CA,M6,2034-10-01T00:00:00,34842.22180521674,0.5119104335397808
CA,M6,2034-11-01T00:00:00,34880.61550009382,0.5119104335397808
CA,M6,2034-12-01T00:00:00,34917.770688684555,0.5119104335397808
CA,M6,2035-01-01T00:00:00,34956.16438356164,0.5121090994592052
CA,M6,2035-02-01T00:00:00,34997.350347157066,0.5121090994592052
CA,M6,2035-03-01T00:00:00,35034.55057234003,0.5121090994592052
CA,M6,2035-04-01T00:00:00,35075.736535935444,0.5121090994592052
CA,M6,2035-05-01T00:00:00,35115.59392006005,0.5121090994592052
CA,M6,2035-06-01T00:00:00,35156.779883655465,0.5121090994592052
CA,M6,2035-07-01T00:00:00,35196.63726778007,0.5121090994592052
CA,M6,2035-08-01T00:00:00,35237.82323137549,0.5121090994592052
CA,M6,2035-09-01T00:00:00,35279.00919497091,0.5121090994592052
CA,M6,2035-10-01T00:00:00,35318.86657909551,0.5121090994592052
CA,M6,2035-11-01T00:00:00,35360.05254269094,0.5121090994592052
CA,M6,2035-12-01T00:00:00,35399.90992681553,0.5121090994592052
CA,M6,2036-01-01T00:00:00,35441.09589041096,0.5120593692022264
CA,M6,2036-02-01T00:00:00,35484.95396362003,0.5120593692022264
CA,M6,2036-03-01T00:00:00,35525.98248371884,0.5120593692022264
CA,M6,2036-04-01T00:00:00,35569.84055692791,0.5120593692022264
CA,M6,2036-05-01T00:00:00,35612.28385358185,0.5120593692022264
CA,M6,2036-06-01T00:00:00,35656.14192679093,0.5120593692022264
CA,M6,2036-07-01T00:00:00,35698.58522344487,0.5120593692022264
CA,M6,2036-08-01T00:00:00,35742.44329665394,0.5120593692022264
CA,M6,2036-09-01T00:00:00,35786.30136986302,0.5120593692022264
CA,M6,2036-10-01T00:00:00,35828.744666516955,0.5120593692022264
CA,M6,2036-11-01T00:00:00,35872.602739726026,0.5120593692022264
CA,M6,2036-12-01T00:00:00,35915.04603637997,0.5120593692022264
CA,M6,2037-01-01T00:00:00,35958.90410958904,0.512
CA,M6,2037-02-01T00:00:00,36005.67461062113,0.512
CA,M6,2037-03-01T00:00:00,36047.91893413399,0.512
CA,M6,2037-04-01T00:00:00,36094.689435166074,0.512
CA,M6,2037-05-01T00:00:00,36139.95121035842,0.512
CA,M6,2037-06-01T00:00:00,36186.721711390506,0.512
CA,M6,2037-07-01T00:00:00,36231.983486582845,0.512
CA,M6,2037-08-01T00:00:00,36278.75398761494,0.512
CA,M6,2037-09-01T00:00:00,36325.524488647025,0.512
CA,M6,2037-10-01T00:00:00,36370.78626383937,0.512
CA,M6,2037-11-01T00:00:00,36417.55676487146,0.512
CA,M6,2037-12-01T00:00:00,36462.8185400638,0.512
CA,M6,2038-01-01T00:00:00,36509.58904109589,0.5119315623592976
CA,M6,2038-02-01T00:00:00,36557.75567648715,0.5119315623592976
CA,M6,2038-03-01T00:00:00,36601.26102458247,0.5119315623592976
CA,M6,2038-04-01T00:00:00,36649.42765997373,0.5119315623592976
CA,M6,2038-05-01T00:00:00,36696.04053293301,0.5119315623592976
CA,M6,2038-06-01T00:00:00,36744.20716832426,0.5119315623592976
CA,M6,2038-07-01T00:00:00,36790.82004128354,0.5119315623592976
CA,M6,2038-08-01T00:00:00,36838.986676674795,0.5119315623592976
CA,M6,2038-09-01T00:00:00,36887.15331206605,0.5119315623592976
CA,M6,2038-10-01T00:00:00,36933.76618502533,0.5119315623592976
CA,M6,2038-11-01T00:00:00,36981.93282041659,0.5119315623592976
CA,M6,2038-12-01T00:00:00,37028.54569337586,0.5119315623592976
CA,M6,2039-01-01T00:00:00,37076.71232876712,0.5120815783639991
CA,M6,2039-02-01T00:00:00,37126.275098517544,0.5120815783639991
CA,M6,2039-03-01T00:00:00,37171.04147119534,0.5120815783639991
CA,M6,2039-04-01T00:00:00,37220.604240945766,0.5120815783639991
CA,M6,2039-05-01T00:00:00,37268.56821167198,0.5120815783639991
CA,M6,2039-06-01T00:00:00,37318.13098142241,0.5120815783639991
CA,M6,2039-07-01T00:00:00,37366.09495214862,0.5120815783639991
CA,M6,2039-08-01T00:00:00,37415.65772189904,0.5120815783639991
CA,M6,2039-09-01T00:00:00,37465.22049164947,0.5120815783639991
CA,M6,2039-10-01T00:00:00,37513.184462375684,0.5120815783639991
CA,M6,2039-11-01T00:00:00,37562.7472321261,0.5120815783639991
CA,M6,2039-12-01T00:00:00,37610.71120285232,0.5120815783639991
CA,M6,2040-01-01T00:00:00,37660.27397260274,0.5120034919249236
CA,M6,2040-02-01T00:00:00,37709.70132494948,0.5120034919249236
CA,M6,2040-03-01T00:00:00,37755.93981585449,0.5120034919249236
CA,M6,2040-04-01T00:00:00,37805.367168201214,0.5120034919249236
CA,M6,2040-05-01T00:00:00,37853.200089827085,0.5120034919249236
CA,M6,2040-06-01T00:00:00,37902.62744217382,0.5120034919249236
CA,M6,2040-07-01T00:00:00,37950.46036379969,0.5120034919249236
CA,M6,2040-08-01T00:00:00,37999.88771614642,0.5120034919249236
CA,M6,2040-09-01T00:00:00,38049.31506849315,0.5120034919249236
CA,M6,2040-10-01T00:00:00,38097.147990119025,0.5120034919249236
CA,M6,2040-11-01T00:00:00,38146.57534246575,0.5120034919249236
CA,M6,2040-12-01T00:00:00,38194.408264091624,0.5120034919249236
CA,M6,2041-01-01T00:00:00,38243.83561643836,0.5121427036320654
CA,M6,2041-02-01T00:00:00,38293.39838618878,0.5121427036320654
CA,M6,2041-03-01T00:00:00,38338.16475886658,0.5121427036320654
CA,M6,2041-04-01T00:00:00,38387.727528617004,0.5121427036320654
CA,M6,2041-05-01T00:00:00,38435.69149934322,0.5121427036320654
CA,M6,2041-06-01T00:00:00,38485.25426909364,0.5121427036320654
CA,M6,2041-07-01T00:00:00,38533.21823981986,0.5121427036320654
CA,M6,2041-08-01T00:00:00,38582.78100957028,0.5121427036320654
CA,M6,2041-09-01T00:00:00,38632.3437793207,0.5121427036320654
CA,M6,2041-10-01T00:00:00,38680.307750046915,0.5121427036320654
CA,M6,2041-11-01T00:00:00,38729.87051979734,0.5121427036320654
CA,M6,2041-12-01T00:00:00,38777.83449052355,0.5121427036320654
CA,M6,2042-01-01T00:00:00,38827.397260273974,0.5120660457239627
CA,M6,2042-02-01T00:00:00,38876.9600300244,0.5120660457239627
CA,M6,2042-03-01T00:00:00,38921.726402702196,0.5120660457239627
CA,M6,2042-04-01T00:00:00,38971.28917245262,0.5120660457239627
CA,M6,2042-05-01T00:00:00,39019.25314317884,0.5120660457239627
CA,M6,2042-06-01T00:00:00,39068.815912929254,0.5120660457239627
CA,M6,2042-07-01T00:00:00,39116.77988365547,0.5120660457239627
