timepoint,province,sex,age,prob_death,se
1996-01-01 00:00:00,BC,F,81,0.04891,0.00438
1996-01-01 00:00:00,BC,M,82,0.08289,0.00728
1996-01-01 00:00:00,BC,F,82,0.05461,0.00487
1996-01-01 00:00:00,BC,M,83,0.09126,0.00828
1996-01-01 00:00:00,BC,F,83,0.06103,0.00543
1996-01-01 00:00:00,BC,M,84,0.1005,0.00939
1996-01-01 00:00:00,BC,F,84,0.06826,0.00613
1996-01-01 00:00:00,BC,M,85,0.11069,0.01071
1996-01-01 00:00:00,BC,F,85,0.0764,0.00681
1996-01-01 00:00:00,BC,M,86,0.12194,0.01221
1996-01-01 00:00:00,BC,F,86,0.08558,0.00777
1996-01-01 00:00:00,BC,M,87,0.13435,0.01391
1996-01-01 00:00:00,BC,F,87,0.09594,0.00885
1996-01-01 00:00:00,BC,M,88,0.14806,0.01583
1996-01-01 00:00:00,BC,F,88,0.10764,0.00999
1996-01-01 00:00:00,BC,M,89,0.16319,0.01854
1996-01-01 00:00:00,BC,F,89,0.12086,0.01172
1996-01-01 00:00:00,BC,M,90,0.17991,0.02158
1996-01-01 00:00:00,BC,F,90,0.13581,0.01345
1996-01-01 00:00:00,BC,M,91,0.19788,0.02535
1996-01-01 00:00:00,BC,F,91,0.15228,0.01553
1996-01-01 00:00:00,BC,M,92,0.21659,0.02993
1996-01-01 00:00:00,BC,F,92,0.16987,0.01802
1996-01-01 00:00:00,BC,M,93,0.23593,0.03552
1996-01-01 00:00:00,BC,F,93,0.18851,0.021
1996-01-01 00:00:00,BC,M,94,0.25576,0.04238
1996-01-01 00:00:00,BC,F,94,0.20811,0.02458
1996-01-01 00:00:00,BC,M,95,0.26362,0.05027
1996-01-01 00:00:00,BC,F,95,0.22391,0.02875
1996-01-01 00:00:00,BC,M,96,0.28195,0.06072
1996-01-01 00:00:00,BC,F,96,0.24401,0.03399
1996-01-01 00:00:00,BC,M,97,0.3006,0.0738
1996-01-01 00:00:00,BC,F,97,0.26483,0.04043
1996-01-01 00:00:00,BC,M,98,0.31946,0.09011
1996-01-01 00:00:00,BC,F,98,0.28623,0.04838
1996-01-01 00:00:00,BC,M,99,0.3384,0.1107
1996-01-01 00:00:00,BC,F,99,0.30803,0.05818
1996-01-01 00:00:00,BC,M,100,0.35732,0.13666
1996-01-01 00:00:00,BC,F,100,0.33005,0.07396
1996-01-01 00:00:00,BC,M,101,0.37608,0.16468
1996-01-01 00:00:00,BC,F,101,0.35209,0.09325
1996-01-01 00:00:00,BC,M,102,0.39457,0.23365
1996-01-01 00:00:00,BC,F,102,0.37398,0.10742
1996-01-01 00:00:00,BC,M,103,0.41267,0.41862
1996-01-01 00:00:00,BC,F,103,0.39552,0.1467
1996-01-01 00:00:00,BC,M,104,0.4303,0.29604
1996-01-01 00:00:00,BC,F,104,0.41653,0.19387
1996-01-01 00:00:00,BC,M,105,0.44735,0.33058
1996-01-01 00:00:00,BC,F,105,0.43685,0.23102
1996-01-01 00:00:00,BC,M,106,0.46375,0.38429
1996-01-01 00:00:00,BC,F,106,0.45636,0.26857
1996-01-01 00:00:00,BC,M,107,0.47944,0.85378
1996-01-01 00:00:00,BC,F,107,0.47495,0.33727
1996-01-01 00:00:00,BC,M,108,0.49437,0.85024
1996-01-01 00:00:00,BC,F,108,0.49251,0.70482
1996-01-01 00:00:00,BC,M,109,0.50849,0.84618
1996-01-01 00:00:00,BC,F,109,0.509,0.49431
1996-01-01 00:00:00,BC,M,110,1.0,0.0
1996-01-01 00:00:00,BC,F,110,1.0,0.0
1997-01-01 00:00:00,CA,M,0,0.00594,0.00036
1997-01-01 00:00:00,CA,F,0,0.00496,0.00033
1997-01-01 00:00:00,CA,M,1,0.00044,9e-05
1997-01-01 00:00:00,CA,F,1,0.00037,9e-05
1997-01-01 00:00:00,CA,M,2,0.00033,8e-05
1997-01-01 00:00:00,CA,F,2,0.00028,8e-05
1997-01-01 00:00:00,CA,M,3,0.00026,7e-05
1997-01-01 00:00:00,CA,F,3,0.00022,7e-05
1997-01-01 00:00:00,CA,M,4,0.00021,6e-05
1997-01-01 00:00:00,CA,F,4,0.00018,6e-05
1997-01-01 00:00:00,CA,M,5,0.00018,6e-05
1997-01-01 00:00:00,CA,F,5,0.00016,5e-05
1997-01-01 00:00:00,CA,M,6,0.00016,5e-05
1997-01-01 00:00:00,CA,F,6,0.00014,5e-05
1997-01-01 00:00:00,CA,M,7,0.00016,5e-05
1997-01-01 00:00:00,CA,F,7,0.00013,5e-05
1997-01-01 00:00:00,CA,M,8,0.00015,5e-05
1997-01-01 00:00:00,CA,F,8,0.00013,5e-05
1997-01-01 00:00:00,CA,M,9,0.00016,5e-05
